=== Memory Watchdog ===
Monitoring PID 7942, threshold: 53477376 KB (~51.2 GB)
Started at Fri Feb 20 22:52:00 PST 2026

23:05:34  RSS: 626 MB  Peak: 630 MB
23:05:36  RSS: 626 MB  Peak: 630 MB
23:05:38  RSS: 626 MB  Peak: 630 MB
23:05:40  RSS: 626 MB  Peak: 630 MB
23:05:42  RSS: 626 MB  Peak: 630 MB
23:05:44  RSS: 626 MB  Peak: 630 MB
23:05:46  RSS: 626 MB  Peak: 630 MB
23:05:48  RSS: 626 MB  Peak: 630 MB
23:05:50  RSS: 626 MB  Peak: 630 MB
23:05:52  RSS: 629 MB  Peak: 630 MB
23:05:54  RSS: 629 MB  Peak: 630 MB
23:05:56  RSS: 629 MB  Peak: 630 MB
23:05:58  RSS: 629 MB  Peak: 630 MB
23:06:00  RSS: 629 MB  Peak: 630 MB
23:06:02  RSS: 626 MB  Peak: 630 MB
23:06:04  RSS: 626 MB  Peak: 630 MB
23:06:06  RSS: 626 MB  Peak: 630 MB
23:06:08  RSS: 626 MB  Peak: 630 MB
23:06:10  RSS: 626 MB  Peak: 630 MB
23:06:12  RSS: 626 MB  Peak: 630 MB
23:06:14  RSS: 626 MB  Peak: 630 MB
23:06:16  RSS: 626 MB  Peak: 630 MB
23:06:18  RSS: 626 MB  Peak: 630 MB
23:06:20  RSS: 626 MB  Peak: 630 MB
23:06:22  RSS: 626 MB  Peak: 630 MB
23:06:24  RSS: 626 MB  Peak: 630 MB
23:06:26  RSS: 626 MB  Peak: 630 MB
23:06:28  RSS: 626 MB  Peak: 630 MB
23:06:30  RSS: 626 MB  Peak: 630 MB
23:06:32  RSS: 626 MB  Peak: 630 MB
23:06:34  RSS: 626 MB  Peak: 630 MB
23:06:36  RSS: 626 MB  Peak: 630 MB
23:06:38  RSS: 626 MB  Peak: 630 MB
23:06:40  RSS: 626 MB  Peak: 630 MB
23:06:42  RSS: 627 MB  Peak: 630 MB
23:06:44  RSS: 627 MB  Peak: 630 MB
23:06:46  RSS: 627 MB  Peak: 630 MB
23:06:48  RSS: 627 MB  Peak: 630 MB
23:06:50  RSS: 627 MB  Peak: 630 MB
23:06:52  RSS: 627 MB  Peak: 630 MB
23:06:54  RSS: 627 MB  Peak: 630 MB
23:06:56  RSS: 627 MB  Peak: 630 MB
23:06:58  RSS: 627 MB  Peak: 630 MB
23:07:00  RSS: 627 MB  Peak: 630 MB
23:07:02  RSS: 627 MB  Peak: 630 MB
23:07:04  RSS: 627 MB  Peak: 630 MB
23:07:06  RSS: 627 MB  Peak: 630 MB
23:07:08  RSS: 627 MB  Peak: 630 MB
23:07:10  RSS: 627 MB  Peak: 630 MB
23:07:12  RSS: 627 MB  Peak: 630 MB
23:07:14  RSS: 627 MB  Peak: 630 MB
23:07:16  RSS: 627 MB  Peak: 630 MB
23:07:18  RSS: 627 MB  Peak: 630 MB
23:07:20  RSS: 627 MB  Peak: 630 MB
23:07:22  RSS: 627 MB  Peak: 630 MB
23:07:24  RSS: 627 MB  Peak: 630 MB
23:07:26  RSS: 627 MB  Peak: 630 MB
23:07:28  RSS: 627 MB  Peak: 630 MB
23:07:30  RSS: 627 MB  Peak: 630 MB
23:07:32  RSS: 627 MB  Peak: 630 MB
23:07:34  RSS: 627 MB  Peak: 630 MB
23:07:36  RSS: 627 MB  Peak: 630 MB
23:07:38  RSS: 627 MB  Peak: 630 MB
23:07:40  RSS: 627 MB  Peak: 630 MB
23:07:42  RSS: 627 MB  Peak: 630 MB
23:07:44  RSS: 627 MB  Peak: 630 MB
23:07:46  RSS: 627 MB  Peak: 630 MB
23:07:48  RSS: 627 MB  Peak: 630 MB
23:07:50  RSS: 627 MB  Peak: 630 MB
23:07:53  RSS: 627 MB  Peak: 630 MB
23:07:55  RSS: 627 MB  Peak: 630 MB
23:07:57  RSS: 627 MB  Peak: 630 MB
23:07:59  RSS: 627 MB  Peak: 630 MB
23:08:01  RSS: 627 MB  Peak: 630 MB
23:08:03  RSS: 627 MB  Peak: 630 MB
23:08:05  RSS: 627 MB  Peak: 630 MB
23:08:07  RSS: 627 MB  Peak: 630 MB
23:08:09  RSS: 627 MB  Peak: 630 MB
23:08:11  RSS: 627 MB  Peak: 630 MB
23:08:13  RSS: 630 MB  Peak: 630 MB
23:08:15  RSS: 630 MB  Peak: 630 MB
23:08:17  RSS: 630 MB  Peak: 630 MB
23:08:19  RSS: 630 MB  Peak: 630 MB
23:08:21  RSS: 630 MB  Peak: 630 MB
23:08:23  RSS: 630 MB  Peak: 630 MB
23:08:25  RSS: 630 MB  Peak: 630 MB
23:08:27  RSS: 630 MB  Peak: 630 MB
23:08:29  RSS: 630 MB  Peak: 630 MB
23:08:31  RSS: 630 MB  Peak: 630 MB
23:08:33  RSS: 630 MB  Peak: 630 MB
23:08:35  RSS: 630 MB  Peak: 630 MB
23:08:37  RSS: 630 MB  Peak: 630 MB
23:08:39  RSS: 630 MB  Peak: 630 MB
23:08:41  RSS: 630 MB  Peak: 630 MB
23:08:43  RSS: 630 MB  Peak: 630 MB
23:08:45  RSS: 630 MB  Peak: 630 MB
23:08:47  RSS: 630 MB  Peak: 630 MB
23:08:49  RSS: 630 MB  Peak: 630 MB
23:08:51  RSS: 537 MB  Peak: 630 MB
23:08:53  RSS: 627 MB  Peak: 630 MB
23:08:55  RSS: 627 MB  Peak: 630 MB
23:08:57  RSS: 627 MB  Peak: 630 MB
23:08:59  RSS: 627 MB  Peak: 630 MB
23:09:01  RSS: 519 MB  Peak: 630 MB
23:09:03  RSS: 627 MB  Peak: 630 MB
23:09:05  RSS: 627 MB  Peak: 630 MB
23:09:07  RSS: 627 MB  Peak: 630 MB
23:09:09  RSS: 627 MB  Peak: 630 MB
23:09:11  RSS: 600 MB  Peak: 630 MB
23:09:13  RSS: 627 MB  Peak: 630 MB
23:09:15  RSS: 627 MB  Peak: 630 MB
23:09:17  RSS: 627 MB  Peak: 630 MB
23:09:19  RSS: 627 MB  Peak: 630 MB
23:09:21  RSS: 627 MB  Peak: 630 MB
23:09:23  RSS: 627 MB  Peak: 630 MB
23:09:25  RSS: 627 MB  Peak: 630 MB
23:09:27  RSS: 627 MB  Peak: 630 MB
23:09:29  RSS: 627 MB  Peak: 630 MB
23:09:31  RSS: 556 MB  Peak: 630 MB
23:09:33  RSS: 627 MB  Peak: 630 MB
23:09:35  RSS: 627 MB  Peak: 630 MB
